year,cause,severity,total
2020,Careless Driving,Fatal,1081 
2020,Careless Driving,Serious,2611 
2020,Careless Driving,Minor,1666 
2019,Careless Driving,Fatal,835 
2019,Careless Driving,Serious,2587 
2019,Careless Driving,Minor,1740 
2018,Careless Driving,Fatal ,830 
2018,Careless Driving,Serious,2698 
2018,Careless Driving,Minor ,2013 
2017,Careless Driving,Fatal,720 
2017,Careless Driving,Serious,2951 
2017,Careless Driving,Minor,2027 
2016,Careless Driving,Fatal,710 
2016,Careless Driving,Serious,3245 
2016,Careless Driving,Minor,2612 
2015,Careless Driving,Fatal,711 
2015,Careless Driving,Serious,4032 
2015,Careless Driving,Minor,3305 
2014,Careless Driving,Fatal,640 
2014,Careless Driving,Serious,4295 
2014,Careless Driving,Minor,3773 
2013,Careless Driving,Fatal,484 
2013,Careless Driving,Serious,3753 
2013,Careless Driving,Minor ,3664 
2012,Careless Driving,Fatal,474 
2012,Careless Driving,Serious,3670 
2012,Careless Driving,Minor,4550 
2020,Reckless Driving,Fatal,1303 
2020,Reckless Driving,Serious,2031 
2020,Reckless Driving,Minor,1094 
2019,Reckless Driving,Fatal,1770 
2019,Reckless Driving,Serious,2240 
2019,Reckless Driving,Minor,1076 
2018,Reckless Driving,Fatal ,1613 
2018,Reckless Driving,Serious,2213 
2018,Reckless Driving,Minor ,902 
2017,Reckless Driving,Fatal,1529 
2017,Reckless Driving,Serious,2338 
2017,Reckless Driving,Minor,794 
2016,Reckless Driving,Fatal,1544 
2016,Reckless Driving,Serious,2606 
2016,Reckless Driving,Minor,990 
2015,Reckless Driving,Fatal,1480 
2015,Reckless Driving,Serious,2991 
2015,Reckless Driving,Minor,1143 
2014,Reckless Driving,Fatal,1439 
2014,Reckless Driving,Serious,2935 
2014,Reckless Driving,Minor,1296 
2013,Reckless Driving,Fatal,1252 
2013,Reckless Driving,Serious,3045 
2013,Reckless Driving,Minor ,1205 
2012,Reckless Driving,Fatal,1174 
2012,Reckless Driving,Serious,3185 
2012,Reckless Driving,Minor,1472 
2020,Careless Pedestrian,Fatal,201 
2020,Careless Pedestrian,Serious,464 
2020,Careless Pedestrian,Minor,73 
2019,Careless Pedestrian,Fatal,361 
2019,Careless Pedestrian,Serious,489 
2019,Careless Pedestrian,Minor,275 
2018,Careless Pedestrian,Fatal ,305 
2018,Careless Pedestrian,Serious,473 
2018,Careless Pedestrian,Minor ,201 
2017,Careless Pedestrian,Fatal,211 
2017,Careless Pedestrian,Serious,320 
2017,Careless Pedestrian,Minor,121 
2016,Careless Pedestrian,Fatal,254 
2016,Careless Pedestrian,Serious,485 
2016,Careless Pedestrian,Minor,194 
2015,Careless Pedestrian,Fatal,247 
2015,Careless Pedestrian,Serious,470 
2015,Careless Pedestrian,Minor,168 
2014,Careless Pedestrian,Fatal,222 
2014,Careless Pedestrian,Serious,415 
2014,Careless Pedestrian,Minor,178 
2013,Careless Pedestrian,Fatal,222 
2013,Careless Pedestrian,Serious,557 
2013,Careless Pedestrian,Minor ,316 
2012,Careless Pedestrian,Fatal,15 
2012,Careless Pedestrian,Serious,87 
2012,Careless Pedestrian,Minor,114 
2020,DMC,Fatal,124 
2020,DMC,Serious,221 
2020,DMC,Minor,121 
2019,DMC,Fatal,111 
2019,DMC,Serious,160 
2019,DMC,Minor,108 
2018,DMC,Fatal ,100 
2018,DMC,Serious,154 
2018,DMC,Minor ,98 
2017,DMC,Fatal,69 
2017,DMC,Serious,174 
2017,DMC,Minor,232 
2016,DMC,Fatal,0 
2016,DMC,Serious,0 
2016,DMC,Minor,0 
2015,DMC,Fatal,75 
2015,DMC,Serious,221 
2015,DMC,Minor,194 
2014,DMC,Fatal,60 
2014,DMC,Serious,195 
2014,DMC,Minor,193 
2013,DMC,Fatal,60 
2013,DMC,Serious,165 
2013,DMC,Minor ,197 
2012,DMC,Fatal,62 
2012,DMC,Serious,180 
2012,DMC,Minor,203 
2020,Other Causes,Fatal,231 
2020,Other Causes,Serious,128 
2020,Other Causes,Minor,68 
2019,Other Causes,Fatal,0 
2019,Other Causes,Serious,0 
2019,Other Causes,Minor,0 
2018,Other Causes,Fatal ,0 
2018,Other Causes,Serious,0 
2018,Other Causes,Minor ,0 
2017,Other Causes,Fatal,0 
2017,Other Causes,Serious,0 
2017,Other Causes,Minor,0 
2016,Other Causes,Fatal,0 
2016,Other Causes,Serious,0 
2016,Other Causes,Minor,0 
2015,Other Causes,Fatal,37 
2015,Other Causes,Serious,103 
2015,Other Causes,Minor,87 
2014,Other Causes,Fatal,45 
2014,Other Causes,Serious,129 
2014,Other Causes,Minor,92 
2013,Other Causes,Fatal,40 
2013,Other Causes,Serious,100 
2013,Other Causes,Minor ,84 
2012,Other Causes,Fatal,99 
2012,Other Causes,Serious,264 
2012,Other Causes,Minor,268 
2020,Over Speeding,Fatal,146 
2020,Over Speeding,Serious,155 
2020,Over Speeding,Minor,58 
2019,Over Speeding,Fatal,102 
2019,Over Speeding,Serious,158 
2019,Over Speeding,Minor,62 
2018,Over Speeding,Fatal ,88 
2018,Over Speeding,Serious,162 
2018,Over Speeding,Minor ,64 
2017,Over Speeding,Fatal,138 
2017,Over Speeding,Serious,198 
2017,Over Speeding,Minor,125 
2016,Over Speeding,Fatal,94 
2016,Over Speeding,Serious,280 
2016,Over Speeding,Minor,214 
2015,Over Speeding,Fatal,115 
2015,Over Speeding,Serious,441 
2015,Over Speeding,Minor,398 
2014,Over Speeding,Fatal,99 
2014,Over Speeding,Serious,338 
2014,Over Speeding,Minor,240 
2013,Over Speeding,Fatal,75 
2013,Over Speeding,Serious,269 
2013,Over Speeding,Minor ,148 
2012,Over Speeding,Fatal,67 
2012,Over Speeding,Serious,153 
2012,Over Speeding,Minor,88 
2020,Unknown Cause,Fatal,90 
2020,Unknown Cause,Serious,67 
2020,Unknown Cause,Minor,34 
2019,Unknown Cause,Fatal,113 
2019,Unknown Cause,Serious,213 
2019,Unknown Cause,Minor,112 
2018,Unknown Cause,Fatal ,150 
2018,Unknown Cause,Serious,231 
2018,Unknown Cause,Minor ,102 
2017,Unknown Cause,Fatal,196 
2017,Unknown Cause,Serious,230 
2017,Unknown Cause,Minor,131 
2016,Unknown Cause,Fatal,255 
2016,Unknown Cause,Serious,272 
2016,Unknown Cause,Minor,174 
2015,Unknown Cause,Fatal,625 
2015,Unknown Cause,Serious,960 
2015,Unknown Cause,Minor,1396 
2014,Unknown Cause,Fatal,703 
2014,Unknown Cause,Serious,990 
2014,Unknown Cause,Minor,1292 
2013,Unknown Cause,Fatal,585 
2013,Unknown Cause,Serious,1008 
2013,Unknown Cause,Minor ,1302 
2012,Unknown Cause,Fatal,621 
2012,Unknown Cause,Serious,1108 
2012,Unknown Cause,Minor,1242 
2020,Passenger Falls from Vehicle,Fatal,49 
2020,Passenger Falls from Vehicle,Serious,47 
2020,Passenger Falls from Vehicle,Minor,12 
2019,Passenger Falls from Vehicle,Fatal,43 
2019,Passenger Falls from Vehicle,Serious,33 
2019,Passenger Falls from Vehicle,Minor,13 
2018,Passenger Falls from Vehicle,Fatal ,51 
2018,Passenger Falls from Vehicle,Serious,40 
2018,Passenger Falls from Vehicle,Minor ,27 
2017,Passenger Falls from Vehicle,Fatal,104 
2017,Passenger Falls from Vehicle,Serious,154 
2017,Passenger Falls from Vehicle,Minor,132 
2016,Passenger Falls from Vehicle,Fatal,69 
2016,Passenger Falls from Vehicle,Serious,100 
2016,Passenger Falls from Vehicle,Minor,40 
2015,Passenger Falls from Vehicle,Fatal,80 
2015,Passenger Falls from Vehicle,Serious,85 
2015,Passenger Falls from Vehicle,Minor,19 
2014,Passenger Falls from Vehicle,Fatal,64 
2014,Passenger Falls from Vehicle,Serious,100 
2014,Passenger Falls from Vehicle,Minor,54 
2013,Passenger Falls from Vehicle,Fatal,73 
2013,Passenger Falls from Vehicle,Serious,137 
2013,Passenger Falls from Vehicle,Minor ,86 
2012,Passenger Falls from Vehicle,Fatal,82 
2012,Passenger Falls from Vehicle,Serious,112 
2012,Passenger Falls from Vehicle,Minor,76 
2020,Under Influence of Alcohol,Fatal,12 
2020,Under Influence of Alcohol,Serious,22 
2020,Under Influence of Alcohol,Minor,14 
2019,Under Influence of Alcohol,Fatal,28 
2019,Under Influence of Alcohol,Serious,60 
2019,Under Influence of Alcohol,Minor,40 
2018,Under Influence of Alcohol,Fatal ,25 
2018,Under Influence of Alcohol,Serious,50 
2018,Under Influence of Alcohol,Minor ,36 
2017,Under Influence of Alcohol,Fatal,44 
2017,Under Influence of Alcohol,Serious,99 
2017,Under Influence of Alcohol,Minor,91 
2016,Under Influence of Alcohol,Fatal,24 
2016,Under Influence of Alcohol,Serious,96 
2016,Under Influence of Alcohol,Minor,81 
2015,Under Influence of Alcohol,Fatal,23 
2015,Under Influence of Alcohol,Serious,121 
2015,Under Influence of Alcohol,Minor,94 
2014,Under Influence of Alcohol,Fatal,28 
2014,Under Influence of Alcohol,Serious,132 
2014,Under Influence of Alcohol,Minor,150 
2013,Under Influence of Alcohol,Fatal,18 
2013,Under Influence of Alcohol,Serious,87 
2013,Under Influence of Alcohol,Minor ,103 
2012,Under Influence of Alcohol,Fatal,15 
2012,Under Influence of Alcohol,Serious,87 
2012,Under Influence of Alcohol,Minor,114 
2020,Over Loading,Fatal,16 
2020,Over Loading,Serious,17 
2020,Over Loading,Minor,13 
2019,Over Loading,Fatal,10 
2019,Over Loading,Serious,18 
2019,Over Loading,Minor,9 
2018,Over Loading,Fatal ,17 
2018,Over Loading,Serious,28 
2018,Over Loading,Minor ,58 
2017,Over Loading,Fatal,30 
2017,Over Loading,Serious,70 
2017,Over Loading,Minor,61 
2016,Over Loading,Fatal,5 
2016,Over Loading,Serious,15 
2016,Over Loading,Minor,10 
2015,Over Loading,Fatal,9 
2015,Over Loading,Serious,29 
2015,Over Loading,Minor,20 
2014,Over Loading,Fatal,10 
2014,Over Loading,Serious,17 
2014,Over Loading,Minor,58 
2013,Over Loading,Fatal,5 
2013,Over Loading,Serious,38 
2013,Over Loading,Minor ,35 
2012,Over Loading,Fatal,5 
2012,Over Loading,Serious,13 
2012,Over Loading,Minor,11 
2020,Dangerous Loading,Fatal,12 
2020,Dangerous Loading,Serious,25 
2020,Dangerous Loading,Minor,4 
2019,Dangerous Loading,Fatal,18 
2019,Dangerous Loading,Serious,19 
2019,Dangerous Loading,Minor,13 
2018,Dangerous Loading,Fatal ,10 
2018,Dangerous Loading,Serious,29 
2018,Dangerous Loading,Minor ,13 
2017,Dangerous Loading,Fatal,31 
2017,Dangerous Loading,Serious,68 
2017,Dangerous Loading,Minor,63 
2016,Dangerous Loading,Fatal,6 
2016,Dangerous Loading,Serious,35 
2016,Dangerous Loading,Minor,15 
2015,Dangerous Loading,Fatal,16 
2015,Dangerous Loading,Serious,59 
2015,Dangerous Loading,Minor,42 
2014,Dangerous Loading,Fatal,13 
2014,Dangerous Loading,Serious,43 
2014,Dangerous Loading,Minor,38 
2013,Dangerous Loading,Fatal,7 
2013,Dangerous Loading,Serious,39 
2013,Dangerous Loading,Minor ,47 
2012,Dangerous Loading,Fatal,9 
2012,Dangerous Loading,Serious,20 
2012,Dangerous Loading,Minor,53 
2020,Dazzled by Lights,Fatal,4 
2020,Dazzled by Lights,Serious,9 
2020,Dazzled by Lights,Minor,0 
2019,Dazzled by Lights,Fatal,15 
2019,Dazzled by Lights,Serious,14 
2019,Dazzled by Lights,Minor,9 
2018,Dazzled by Lights,Fatal ,5 
2018,Dazzled by Lights,Serious,7 
2018,Dazzled by Lights,Minor ,11 
2017,Dazzled by Lights,Fatal,26 
2017,Dazzled by Lights,Serious,58 
2017,Dazzled by Lights,Minor,66 
2016,Dazzled by Lights,Fatal,21 
2016,Dazzled by Lights,Serious,18 
2016,Dazzled by Lights,Minor,10 
2015,Dazzled by Lights,Fatal,11 
2015,Dazzled by Lights,Serious,22 
2015,Dazzled by Lights,Minor,11 
2014,Dazzled by Lights,Fatal,3 
2014,Dazzled by Lights,Serious,14 
2014,Dazzled by Lights,Minor,11 
2013,Dazzled by Lights,Fatal,9 
2013,Dazzled by Lights,Serious,10 
2013,Dazzled by Lights,Minor ,6 
2012,Dazzled by Lights,Fatal,8 
2012,Dazzled by Lights,Serious,19 
2012,Dazzled by Lights,Minor,19 
2020,Obstacle on Carriage Way,Fatal,0 
2020,Obstacle on Carriage Way,Serious,6 
2020,Obstacle on Carriage Way,Minor,13 
2019,Obstacle on Carriage Way,Fatal,1 
2019,Obstacle on Carriage Way,Serious,1 
2019,Obstacle on Carriage Way,Minor,2 
2018,Obstacle on Carriage Way,Fatal ,0 
2018,Obstacle on Carriage Way,Serious,0 
2018,Obstacle on Carriage Way,Minor ,1 
2017,Obstacle on Carriage Way,Fatal,22 
2017,Obstacle on Carriage Way,Serious,44 
2017,Obstacle on Carriage Way,Minor,52 
2016,Obstacle on Carriage Way,Fatal,0 
2016,Obstacle on Carriage Way,Serious,1 
2016,Obstacle on Carriage Way,Minor,0 
2015,Obstacle on Carriage Way,Fatal,0 
2015,Obstacle on Carriage Way,Serious,4 
2015,Obstacle on Carriage Way,Minor,2 
2014,Obstacle on Carriage Way,Fatal,0 
2014,Obstacle on Carriage Way,Serious,1 
2014,Obstacle on Carriage Way,Minor,2 
2013,Obstacle on Carriage Way,Fatal,0 
2013,Obstacle on Carriage Way,Serious,2 
2013,Obstacle on Carriage Way,Minor ,1 
2012,Obstacle on Carriage Way,Fatal,3 
2012,Obstacle on Carriage Way,Serious,12 
2012,Obstacle on Carriage Way,Minor,44 